Platform,Alexa Index,Domain,FAILING date,PASSING date,Days Passed
Mobile,42,tribunnews.com,6/22/2019,7/3/2019,11
Mobile,42,tribunnews.com,5/10/2019,5/17/2019,7
Mobile,42,tribunnews.com,6/7/2019,6/13/2019,6
Mobile,42,tribunnews.com,6/1/2019,6/5/2019,4
Mobile,42,tribunnews.com,5/28/2019,5/30/2019,2
Mobile,42,tribunnews.com,7/9/2019,7/10/2019,1
Mobile,119,detik.com,6/19/2019,7/2/2019,13
Mobile,135,cricbuzz.com,7/12/2019,8/7/2019,26
Mobile,194,onlinevideoconverter.com,7/27/2019,8/8/2019,12
Mobile,232,liputan6.com,5/22/2019,5/30/2019,8
Mobile,232,liputan6.com,5/4/2019,5/7/2019,3
Mobile,266,kompas.com,5/25/2019,6/18/2019,24
Mobile,333,sex.com,7/5/2019,8/2/2019,28
Mobile,410,avgle.com,6/6/2019,6/29/2019,23
Mobile,548,merdeka.com,6/4/2019,6/8/2019,4
Mobile,868,dream.co.id,7/24/2019,8/2/2019,9
Mobile,1694,moneycontrol.com,6/13/2019,7/9/2019,26
Mobile,2018,woman.ru,7/3/2019,7/20/2019,17
Mobile,2241,hk01.com,5/25/2019,6/14/2019,20
Mobile,2437,jagran.com,6/4/2019,6/7/2019,3
Mobile,2649,adorocinema.com,7/18/2019,7/27/2019,9
Mobile,3018,kissjav.com,6/4/2019,6/5/2019,1
Mobile,3018,kissjav.com,6/11/2019,6/12/2019,1
Mobile,3941,songsmp3.org,4/18/2019,5/3/2019,15
Mobile,4280,javqd.com,6/28/2019,6/29/2019,1
Mobile,4558,regmarkets.ru,5/24/2019,6/6/2019,13
Mobile,5130,gooool.org,5/28/2019,6/13/2019,16
Mobile,5130,gooool.org,7/13/2019,7/16/2019,3
Mobile,6260,openrice.com,7/30/2019,8/15/2019,16
Mobile,6961,picdeer.com,7/13/2019,7/23/2019,10
Mobile,8672,youx.xxx,7/9/2019,7/10/2019,1
Mobile,8803,milfzr.com,7/10/2019,7/16/2019,6
Mobile,8803,milfzr.com,5/18/2019,5/22/2019,4
